,ktest,p-value,p-value_adjadj,cluster
AACS,210.2026125380695,2.4032744939565514e-44,1.1733634294023162e-43,2
ACSL6,71.00177129530267,1.39464817460279e-14,2.6308136020916267e-14,0
ACSS1,4.287707395064951,0.36846691366436995,0.3971786212226326,1
ALAS1,7.502301529570232,0.11160784790145568,0.13233501965458316,1
AMDHD2,5.013971199870716,0.28586696467023315,0.32954108427262985,1
ARHGEF2,4.314514952293734,0.3651110545355332,0.3971786212226326,2
BATF,0.9857759875341413,0.9119450901002488,0.9461430309790082,2
BCL11A,51.37483264186911,1.863817426807317e-10,3.222850967187652e-10,1
betaglobin,674.7386741145859,1.0274236375531401e-144,8.527616191691063e-143,0
BPI,150.33184260567992,1.7282869500207624e-31,5.123136316132974e-31,2
CD151,14.015561836114262,0.00724555403840758,0.010192898054031002,2
CD44,96.76668647901566,4.796909259857035e-20,1.0208806886362408e-19,2
CREG1,169.80353071098594,1.1524813106068169e-35,4.158954294798513e-35,1
CRIP2,518.4352414647138,6.895319676693815e-111,1.1446230663311733e-109,2
CTCF,84.1152884982553,2.3369393745370455e-17,4.618237335394638e-17,1
CTSA,108.97058478102525,1.2064686711414488e-22,2.7064026947227094e-22,0
CYP51A1,654.4348957822104,2.5552280286518643e-140,1.0604196318905237e-138,2
DCP1A,9.195467872843452,0.056395152385395934,0.07092117648466459,1
DCTD,110.13322672797632,6.816759982173573e-23,1.5716418847789069e-22,1
DHCR24,382.35597329592315,1.803677869222748e-81,2.1386466163641153e-80,2
DHCR7,238.24576922814146,2.2141869992549727e-50,1.225183472921085e-49,2
DPP7,12.127390581383949,0.016428675517606964,0.021993226902602872,1
EGFR,8.353542969264133,0.07945297925710024,0.09557387359912058,2
EMB,35.443548764249,3.765981510967628e-07,6.011085873275253e-07,2
FAM208B,4.87210322585398,0.30067402103146906,0.3372424830488099,1
FHL3,263.8811182603632,6.646618186772468e-56,4.2436100730931905e-55,2
FNIP1.F1.R1,31.59319064731637,2.3165787970795386e-06,3.4959280028654856e-06,1
GLRX5,159.14574861147298,2.229095301719625e-33,7.400596401709155e-33,1
GPT2,4.6006230774523145,0.3307823512314381,0.36606580202945815,0
GSN,202.95073332285853,8.718217324488518e-43,3.8084844101713e-42,2
