,ktest,p-value,p-value_adjadj,cluster
AACS,209.54423188359277,3.329809450236468e-44,9.212472812320896e-44,2
ACSL6,178.11367549410116,1.8950622645002702e-37,4.626181410397718e-37,0
ACSS1,25.33799858180834,4.301899276365955e-05,5.1008234276910605e-05,1
ALAS1,52.673157936312194,9.975007843212715e-11,1.379876084977759e-10,1
AMDHD2,63.95867373234162,4.2637563861629493e-13,6.101582414681462e-13,1
ARHGEF2,42.864490847412924,1.1039942856766796e-08,1.3883564501691578e-08,2
BATF,102.3544922054411,3.1008843704492563e-21,5.476029845686984e-21,2
BCL11A,262.51140318043025,1.3115579514226635e-55,4.1868965372338875e-55,1
betaglobin,934.3881142513434,5.8969155618407225e-201,1.6314799721092665e-199,0
BPI,587.5626913965438,7.618731602433698e-126,5.748679300018155e-125,2
CD151,103.28752835345189,1.96220838995126e-21,3.540506442738143e-21,2
CD44,433.85222351158365,1.3442992426474978e-92,6.973552321233894e-92,2
CREG1,43.510384171895645,8.10812863707477e-09,1.0515229326206341e-08,1
CRIP2,1142.9033836949293,3.7968409038561983e-246,3.1513779502006447e-244,2
CTCF,75.28928425903909,1.730728478034299e-15,2.6118266123063058e-15,1
CTSA,888.9160261123952,4.198984462238039e-191,8.712892759143931e-190,0
CYP51A1,188.02816186763314,1.4060196848909798e-39,3.764504317611333e-39,2
DCP1A,47.80055275136566,1.0385945075545465e-09,1.3903765181778606e-09,1
DCTD,74.51177323131682,2.5273901931757897e-15,3.745953322028402e-15,1
DHCR24,273.1843825563208,6.566876428231771e-58,2.2710447647634874e-57,2
DHCR7,76.73013924372391,8.577742193854673e-16,1.3433067963961092e-15,2
DPP7,64.34431879811011,3.536571523535829e-13,5.149744499183751e-13,1
EGFR,4.623828381023264,0.32811606942858074,0.3404204220321525,2
EMB,155.2369684680553,1.5354839096448138e-32,3.444463905419447e-32,2
FAM208B,16.365651442109005,0.0025657851366544596,0.0028021074518726334,1
FHL3,783.9970678836439,2.246936117369875e-168,2.0721744193522182e-167,2
