,ktest,p-value,p-value_adjadj,cluster
AACS,92.92873290736782,3.141591638685722e-19,3.2594013251364366e-18,2
ACSL6,14.729126758186512,0.005297293537360281,0.010323962143484288,0
ACSS1,0.5717091378663676,0.9661549659147141,1.0,1
ALAS1,0.10872318788925163,0.9985748820451552,1.0,1
AMDHD2,0.1676703590693333,0.9966761996176489,1.0,1
ARHGEF2,96.85465303650658,4.594586585579614e-20,6.355844776718466e-19,2
BATF,26.593679060222595,2.4015741923545667e-05,5.5339662419248076e-05,2
BCL11A,27.764180741996224,1.392350874874222e-05,3.501973412562438e-05,1
betaglobin,9.02180003574,0.06055688756456376,0.0913858485065235,0
BPI,88.49988080085788,2.742288049481945e-18,2.5289989789666826e-17,2
CD151,27.24563850336377,1.7730291788555792e-05,4.32827711308862e-05,2
CD44,40.41806295774379,3.5469084651831245e-08,1.015149664173101e-07,2
CREG1,0.9462129266146669,0.9178392139328715,1.0,1
CRIP2,21.870548186668227,0.0002126685158088729,0.00046451281084569613,2
CTCF,3.6077973039543054,0.4616778952210838,0.5895271585130762,1
CTSA,3.2529991766246837,0.5164134453540998,0.6494290297634892,0
CYP51A1,58.62097623643052,5.6520979388638424e-12,2.606245160698327e-11,2
DCP1A,1.1158217718255259,0.8917538496018671,1.0,1
DCTD,14.707247120209933,0.005348558700841257,0.010323962143484288,1
DHCR24,50.21743877856687,3.2524250112500655e-10,1.1737011997119802e-09,2
DHCR7,45.939189534841,2.5356682505945527e-09,7.794832029605476e-09,2
DPP7,12.204472319060821,0.015893795388963308,0.026383700345679093,1
EGFR,46.04713674198648,2.4078466211866323e-09,7.686587290711172e-09,2
EMB,55.464253654201926,2.596917316723461e-11,1.1344428278318277e-10,2
FAM208B,0.16432435907117374,0.996803996448866,1.0,1
FHL3,203.2204105132397,7.62849925837249e-43,3.165827192224583e-41,2
FNIP1.F1.R1,0.0704450633744878,0.9993940620352183,0.9993940620352184,1
GLRX5,2.872555040578572,0.579374472952398,0.717732556045508,1
GPT2,4.708807818952253,0.31850094812640095,0.42638030152405293,0
GSN,49.66588752796732,4.239976528215974e-10,1.4663252160080243e-09,2
HMGCS1,68.88379158568904,3.904735808792521e-14,2.7007756010814935e-13,2
HRAS1,12.273962988235702,0.015426143684423502,0.026129998485860215,2
HSD17B7,13.286963702483371,0.009955514978264676,0.01758101581268017,2
HSP90AA1,118.98378897728192,8.804317418208296e-25,1.8268958642782213e-23,1
HYAL1,11.952272595043471,0.017709729997942215,0.028821717447631446,0
LCP1,60.36730136635386,2.428477149996172e-12,1.3437573563312153e-11,2
LDHA,64.2328000099562,3.733084486657987e-13,2.213185802804378e-12,2
MAPK12,0.895787226030095,0.9251644315542589,1.0,0
MFSD2B,27.160291567939012,1.8449282842867955e-05,4.375115645594401e-05,0
MID2,86.50833615341047,7.259515986074037e-18,6.025398268441451e-17,2
MKNK2,14.786384031525584,0.005165408379488928,0.010456802329209293,0
MTFR1,3.7897063061788145,0.43521341122886426,0.5644173926874333,1
MVD,13.99252869653389,0.007318939254390497,0.013806180866236618,2
MYO1G,13.831883519726574,0.007851402588777593,0.014481475885967562,2
NCOA4,6.35800564967685,0.17395995230716832,0.24894269037060293,0
NSDHL,208.4468013077007,5.734090515743021e-44,4.7592951280667074e-42,2
PDLIM7,26.53591966215091,2.466948806641179e-05,5.5339662419248076e-05,2
PIK3CG,5.533761716178386,0.23677769882268096,0.3330940508861444,1
PLAG1,53.05379090313737,8.30372421287105e-11,3.281948141277605e-10,0
PLS1,12.593155075376988,0.013444675432719355,0.02324808460241055,1
PLS3,4.148589921363545,0.38626973169081974,0.508895043338699,1
PPP1R15B,66.24077755196141,1.409327372616836e-13,8.99801322516903e-13,1
PTPRC,142.18050129447667,9.633252908906777e-30,2.6651999714642084e-28,2
RBM38,6.556983751269882,0.16123517046524538,0.23478103769500644,0
REXO2,78.96175601038337,2.8901638537273488e-16,2.180759998721545e-15,1
RFFL,5.1240611291985445,0.2748032755273268,0.38014453114613544,0
RPL22L1,33.64758758638233,8.800743023352528e-07,2.2826927216820618e-06,0
RSFR,9.45999512152547,0.05057578089395607,0.07773684841108063,2
RUNX2,55.005144010961445,3.2409235855861884e-11,1.3449832880182682e-10,2
sca2,52.792062169612734,9.41969857916452e-11,3.553795373048432e-10,2
SCD,58.723447289738864,5.378880115422804e-12,2.606245160698327e-11,2
SERPINI1,0.17794995011158615,0.9962688669239984,1.0,1
SLC25A37,109.13600448519574,1.1123527198365287e-22,1.8465055149286376e-21,0
SLC6A9,11.308175212216018,0.023310386092964024,0.037206962417615654,0
SLC9A3R2,48.478925735692286,7.499203527368916e-10,2.48973557108648e-09,0
SMPD1,7.5628201668035135,0.1089708804941894,0.1615104121610307,1
SNX22,37.841118719612545,1.2083896714813037e-07,3.343211424431607e-07,0
SNX27,1.0293827749467228,0.9053083510689522,1.0,1
