,ktest,p-value,p-value_adjadj,cluster
AACS,1.1385922503659085,0.8881017721671209,1.0,2
ACSL6,22.946782245937506,0.0001297639590185566,0.00033657526870438116,0
ACSS1,18.329309778932092,0.0010639803100497903,0.0025231533066895026,1
ALAS1,1.2698418171066628,0.8664711377805812,1.0,1
AMDHD2,31.906648116079324,1.999006733892099e-06,7.900836138716391e-06,1
ARHGEF2,13.437879481876902,0.009323075405449032,0.019841416888519734,2
BATF,0.8220902889028234,0.9354622587861969,1.0,2
BCL11A,53.275699350525734,7.461619978816919e-11,4.128763054945362e-10,1
betaglobin,146.55462941043777,1.1140963963051901e-30,1.1558750111666347e-29,0
BPI,28.239512853308412,1.1153533935565056e-05,3.562018985332159e-05,2
CD151,1.9038180643187923,0.7534435749721186,0.9333703988460572,2
CD44,14.488090516096,0.005889677096082744,0.01286429470986494,2
CREG1,84.79861875887835,1.6737736192897033e-17,1.0686400800080414e-16,1
CRIP2,8.59500078106908,0.07205934195169718,0.13290945293313033,2
CTCF,0.37770743491095815,0.984261035421871,1.0,1
CTSA,632.486041091782,1.4414291905109022e-135,5.981931140620244e-134,0
CYP51A1,26.965498645544756,2.0200744789273843e-05,5.988077919677604e-05,2
DCP1A,862.7836240218093,1.926610694765894e-185,1.599086876655692e-183,1
DCTD,27.50560246508697,1.5707562813648487e-05,4.828621161232683e-05,1
DHCR24,0.21902385352670284,0.9944238907758866,1.0,2
DHCR7,23.823774241189007,8.664088407536158e-05,0.00023970644594183368,2
DPP7,7.781497417375275,0.09991821208797022,0.17277524173544853,1
EGFR,7.115668595840831,0.12990047198311516,0.21140665048232465,2
EMB,3.990637247365499,0.40727444344238817,0.5452222388019067,2
FAM208B,0.5514780224610514,0.968299940433146,1.0,1
FHL3,0.21909694349390849,0.9944203032645053,1.0,2
FNIP1.F1.R1,1.1197778159036296,0.8911216738525767,1.0,1
GLRX5,320.6844399934188,3.73255888292977e-68,6.196047745663418e-67,1
GPT2,0.6829019744052816,0.9534205969123527,1.0,0
GSN,0.029060773074851217,0.9998954509934653,0.9998954509934653,2
HMGCS1,6.186683707838727,0.18563365610549779,0.2656481630475227,2
HRAS1,7.024018204983541,0.134624403963101,0.21082689677240343,2
HSD17B7,5.826573248141484,0.21247965543347372,0.2989120576437003,2
HSP90AA1,138.28221304042907,6.582207642727284e-29,6.070258159404051e-28,1
HYAL1,8.925812833488633,0.06298079389647608,0.12446204508113132,0
LCP1,7.231414541441575,0.12415280672558925,0.2098827120903026,2
LDHA,6.941993192600767,0.13898555663757348,0.21362594816515923,2
MAPK12,6.880593516685156,0.1423344731082444,0.21479565941789608,0
MFSD2B,0.28620036560866,0.9906874797791612,1.0,0
MID2,0.8422474628615383,0.9326961392212088,1.0,2
MKNK2,8.758627276203297,0.067424093903681,0.1301441812559424,0
MTFR1,39.84773106312745,4.653900156386665e-08,2.0330195420004906e-07,1
MVD,0.5490456987119079,0.9685540627397252,1.0,2
MYO1G,1.6614853231956288,0.7977013888010572,0.9736649304483492,2
NCOA4,46.480926171287294,1.9558522198111385e-09,1.0145983390270281e-08,0
NSDHL,6.197971819871607,0.1848433987067171,0.2656481630475227,2
PDLIM7,10.348158384422272,0.03495410235075098,0.07252976237780828,2
PIK3CG,198.65058387346647,7.327979244962296e-42,8.688889676169579e-41,1
PLAG1,10.282614786405183,0.03592687187763865,0.07273000892302457,0
PLS1,115.80789399115491,4.195461461041779e-24,3.4822330126646765e-23,1
PLS3,7.184868478777994,0.12643536872909794,0.2098827120903026,1
PPP1R15B,15.512779752105128,0.0037477254463933077,0.008407059785152554,1
PTPRC,3.934475523689125,0.41494624871506647,0.5466752165611193,2
RBM38,16.21870227812787,0.0027393087937560034,0.006315628607826341,0
REXO2,20.345064422927464,0.00042685169373055825,0.0010420203111657746,1
RFFL,40.32819233754232,3.7020648967785387e-08,1.7070632579589927e-07,0
RPL22L1,247.35831848095933,2.4133342721647816e-52,3.338445743161281e-51,0
RSFR,4.524564823302426,0.3396446567944234,0.46213945104814985,2
RUNX2,7.889956177915298,0.0956934376627289,0.16899053885120213,2
sca2,2.6172136926055427,0.6237768413962037,0.784446633877044,2
SCD,6.651051204383862,0.15551828860458977,0.23050032061037412,2
SERPINI1,8.497335611233595,0.07496803078456232,0.13526840337214505,1
SLC25A37,39.6460169164212,5.122952007990276e-08,2.1260250833159646e-07,0
SLC6A9,450.51024608713885,3.3693138202708665e-96,6.991326177062048e-95,0
SLC9A3R2,0.4846301009084454,0.9749798885761781,1.0,0
SMPD1,23.16415346226613,0.00011741411691327749,0.00031436682915490425,1
SNX22,8.650848403648348,0.07044437898707231,0.13288371490743187,0
SNX27,2.915622764890776,0.5720435749989776,0.7304556419217714,1
SQLE,28.262491457248597,1.1034499563582584e-05,3.702973266607598e-05,2
SQSTM1,29.640183705269195,5.7932849162828455e-06,2.0906202089194618e-05,1
STARD4,0.040565353749907676,0.9997970668114963,1.0,2
STX12,107.40570157692201,2.6011068923780885e-22,1.7990989338948445e-21,0
SULF2,5.37388382138765,0.25103960919704915,0.3472714593892513,2
SULT1E1,3.3592303243602037,0.4996027610775061,0.6479223307723907,1
TADA2L,31.00742085913945,3.050743582785132e-06,1.1509623516871179e-05,1
TBC1D7,558.7403808109719,1.3146184866956554e-119,3.637111146524646e-118,0
TNFRSF21,21.610211599608142,0.00023959185965730104,0.00060260982883503,1
TPP1,7.062432441495225,0.13262551009819995,0.21082689677240343,1
TTYH2,40.42357606573706,3.537604409247741e-08,1.7070632579589927e-07,0
UCK1,110.93549576156876,4.596884995764965e-23,3.468558678622655e-22,1
VDAC3,28.238630182940344,1.1158131761281462e-05,3.562018985332159e-05,1
WDR91,26.503983685160286,2.503851879072918e-05,7.166196757346627e-05,1
XPNPEP1,73.89063000660798,3.419886748334651e-15,2.027504286512686e-14,1
