,ktest,p-value,p-value_adjadj,cluster
AACS,299.94662299340064,1.1125475081074342e-63,1.0260160352546337e-62,2
ACSL6,96.05017876511063,6.813763921960659e-20,1.5709511264520408e-19,0
ACSS1,92.7488315037685,3.430765266005215e-19,7.49351360732718e-19,1
ALAS1,151.29867119332746,1.0725545397245685e-31,3.1793580998978278e-31,1
AMDHD2,14.331202857911016,0.006309675400354263,0.008056970126606212,1
ARHGEF2,54.901778927131254,3.406638348671009e-11,5.437518902686418e-11,2
BATF,65.71178759191051,1.8218008907428544e-13,3.360210531814598e-13,2
BCL11A,16.60454928181081,0.002306519304004432,0.0031563061883129345,1
betaglobin,418.81673255805237,2.3887190052815008e-89,3.9652735487672914e-88,0
BPI,1195.9726771548724,1.1891860872711496e-257,9.870244524350542e-256,2
CD151,105.77555826656967,5.78921458758151e-22,1.4132494434390156e-21,2
CD44,165.28835544423086,1.072816316192761e-34,3.561750169759966e-34,2
CREG1,0.031778157723118095,0.9998750977868499,0.9998750977868499,1
CRIP2,289.2883385614919,2.213749849417911e-61,1.837412375016866e-60,2
CTCF,20.32501871917297,0.00043076469212372534,0.0006059910075638848,1
CTSA,23.243497620393168,0.0001132030568953914,0.00016199747797099114,0
CYP51A1,323.1655780387653,1.0878297399097505e-68,1.1286233551563661e-67,2
DCP1A,0.6269548090333086,0.960021809047148,1.0,1
DCTD,14.998397999502043,0.004704540955197685,0.006101201551271997,1
DHCR24,214.59480145932275,2.7286571674796706e-45,1.5098569660054178e-44,2
DHCR7,200.35603738348865,3.150108008501445e-42,1.4525498039201105e-41,2
DPP7,16.591784422727635,0.002319694909483,0.0031563061883129345,1
EGFR,0.04032388535981758,0.9997994594582589,1.0,2
EMB,404.2789447450727,3.309305749713445e-86,4.5778729537702657e-85,2
FAM208B,3.1552931614050985,0.5321819823332412,0.6050836237487537,1
FHL3,478.61415926620117,2.8250256840175906e-102,7.815904392448667e-101,2
FNIP1.F1.R1,0.21175090494928292,0.9947755287730021,1.0,1
GLRX5,81.4198365123368,8.71257403074865e-17,1.7217705822669954e-16,1
GPT2,53.60185600303642,6.376232609760307e-11,9.800505677964916e-11,0
GSN,393.49441027490786,7.077580749621275e-84,8.391988603122368e-83,2
HMGCS1,185.93359578282752,3.962845157121852e-39,1.566267371624351e-38,2
HRAS1,45.07063126965147,3.843764743139109e-09,5.800590430555383e-09,2
HSD17B7,118.02554822572984,1.4103325962441754e-24,3.547200166311108e-24,2
HSP90AA1,8.522376140218894,0.07421186766492716,0.08926934806070948,1
HYAL1,53.77059441062298,5.87812824561255e-11,9.205370648789465e-11,0
LCP1,122.84224059119623,1.3197082819307982e-25,3.4229933562580078e-25,2
LDHA,674.0248279989114,1.4665636546220134e-144,6.086239166681356e-143,2
MAPK12,85.86847930063419,9.924296933534838e-18,2.0592916137084787e-17,0
MFSD2B,13.265576498669137,0.010048468558006712,0.012636710459311471,0
MID2,460.20144638539523,2.705994689738184e-98,5.614938981206732e-97,2
MKNK2,31.365891889468948,2.5778394096276085e-06,3.753695982440202e-06,0
MTFR1,2.616195209095204,0.623956910220673,0.6998435614637278,1
MVD,85.09976713676315,1.444798755472402e-17,2.924836504980716e-17,2
MYO1G,63.06553815436834,6.573753592414182e-13,1.186133800370385e-12,2
NCOA4,58.58811265382377,5.7426244176684605e-12,9.727302585030251e-12,0
NSDHL,179.34640811138232,1.0301518964730446e-37,3.5626086419692796e-37,2
PDLIM7,57.35091969155963,1.0442475869518987e-11,1.733450994340152e-11,2
PIK3CG,15.585797216596738,0.003628433781645682,0.004780317521850661,1
PLAG1,61.46023917450168,1.4307058203530383e-12,2.5265655976447273e-12,0
PLS1,95.92203039913693,7.255146169776261e-20,1.6275057624092696e-19,1
PLS3,57.28849305131742,1.0762228581547257e-11,1.7514999456243577e-11,1
PPP1R15B,11.181667389066057,0.02459643303864036,0.030022116797163965,1
PTPRC,251.6993445027043,2.802019422717978e-53,1.7889816314276323e-52,2
RBM38,1.3028095021278339,0.8608986778677769,0.9401919771450721,0
REXO2,15.606185319507224,0.0035957971948129145,0.004780317521850661,1
RFFL,134.51484753547896,4.213295149526652e-28,1.1656783247023737e-27,0
RPL22L1,98.0221786441253,2.5931083858797883e-20,6.149371315086355e-20,0
RSFR,246.6459241083453,3.436128817292895e-52,2.0371335131093595e-51,2
RUNX2,182.91343269144613,1.7651890438685626e-38,6.659576847322304e-38,2
sca2,273.6726471311513,5.153513670683549e-58,3.888560315152133e-57,2
SCD,165.1711558164499,1.1367647005445526e-34,3.6289026978922257e-34,2
SERPINI1,0.12446249398980898,0.9981421268079885,1.0,1
SLC25A37,263.98983070450356,6.297550526474077e-56,4.355805780811236e-55,0
SLC6A9,163.23457833511102,2.958915940158696e-34,9.095926779006361e-34,0
SLC9A3R2,202.3380851069744,1.1807620955658234e-42,5.764897290115491e-42,0
SMPD1,39.959753238853935,4.4121753593901406e-08,6.539474193381815e-08,1
SNX22,151.05228916266333,1.2112171258373243e-31,3.466586946361997e-31,0
SNX27,0.2482060040995232,0.9929076542956554,1.0,1
SQLE,197.02393428120027,1.6393496066368606e-41,7.161369334255759e-41,2
SQSTM1,5.968959484993316,0.20147842148576497,0.23225984699053465,1
STARD4,179.71288599993926,8.594059813381837e-38,3.1013346283073583e-37,2
STX12,60.244842918517904,2.576748063329474e-12,4.4556268595072156e-12,0
SULF2,194.43403617820638,5.907071687607462e-41,2.451434750357097e-40,2
SULT1E1,7.14634577665412,0.12835368801373095,0.15004726908647423,1
TADA2L,11.799973724525955,0.018902381592283322,0.02341638316655994,1
TBC1D7,214.09921415561837,3.4879443575571886e-45,1.8093711354827916e-44,0
TNFRSF21,87.12084322993921,5.381440645135332e-18,1.1452809578108527e-17,1
TPP1,0.2834305774966686,0.9908585217870386,1.0,1
TTYH2,71.42426017641465,1.1356082770302588e-14,2.191988069616546e-14,0
UCK1,69.95306621408068,2.3222233392304362e-14,4.380557662639232e-14,1
VDAC3,1.8247153979755668,0.7679575500031491,0.849873022003485,1
WDR91,132.90911966554322,9.293144284328673e-28,2.4881644374170318e-27,1
XPNPEP1,8.47392528211444,0.07568154349418954,0.08973668728596759,1
