,ktest,p-value,p-value_adj,cluster
HBA1,52.63588191460471,1.0155736618289597e-10,9.190711871755291e-10,3
HBBA,110.24307899058442,6.458759881983217e-23,1.0417354648360026e-21,3
HINTW,16.080084486413558,0.0029135634435769014,0.010134133716789222,4
ENSGALG00000052767,111.11955706776102,4.1995472042556794e-23,6.828532039440129e-22,3
ENSGALG00000053077,24.361771413574722,6.758544024174826e-05,0.00030860931617236644,0
HBAD,55.86442471519448,2.140799279047449e-11,2.0291936294288616e-10,3
KPNA2,1.213731480645125,0.8758326861457238,1.0,1
ENSGALG00000047563,43.104761247799274,9.842658470369513e-09,7.210738806131512e-08,1
THY1,94.45124124124074,1.490909854575658e-19,2.0851886077981232e-18,1
ENSGALG00000050153,16.037662198923954,0.002969040733639665,0.010309169214026616,1
LDHA,282.5153510952639,6.392146079663399e-60,3.364287410349158e-58,0
CRIP1,176.17154671709952,4.950431445350112e-37,1.4560092486323858e-35,0
MLANA,4.352389689254906,0.36041073978725496,0.6487718567275206,0
ID2,37.39381697182127,1.4942865350167037e-07,9.67175750819873e-07,0
CD99,5.076068355269209,0.2795810848150682,0.54025330399047,1
HIST1H101,1.1524878842211979,0.8858574995367656,1.0,4
HSPA5,41.823257908480315,1.8149706341957593e-08,1.2917940456909317e-07,0
MT-MT-CO1,0.27117072648789964,0.9915983857796703,1.0,1
RSFR,120.88874420305929,3.450045675171555e-25,6.388973472539916e-24,0
MT-ND3,43.72342470300057,7.322977788960419e-09,5.4244279918225324e-08,4
CDK1,5.742801533535327,0.21919700880174053,0.44416820425884607,4
ENSGALG00000050596,3.5886865021055883,0.4645220995230649,0.7933767711751748,4
HSP90B1,20.153987612774046,0.00046562802183984845,0.0018813253407670646,1
IFI6,7.516673146342566,0.11097632092565403,0.25366016211578063,1
ENSGALG00000053107,0.09428695171522197,0.9989230621596249,1.0,0
CCDC170,95.25288010739786,1.0068676047710799e-19,1.4281809996752906e-18,1
MT-ND4L,136.665764631991,1.4599753817924176e-28,3.1063305995583356e-27,1
ENSGALG00000011747,0.18404832377383976,0.9960167955487986,1.0,4
SAT1,117.24993000642883,2.0650441181427825e-24,3.654945341845633e-23,1
TUBB1,26.389330918516336,2.6409170594790844e-05,0.00013138890843179525,4
DDC,1.4330563179651266,0.8384298015392795,1.0,1
ENSGALG00000040263,14.42563524047831,0.006053482444025336,0.019186949109430543,0
LBH,10.308573870014197,0.03553852237825406,0.09381530302193727,4
PTGS1,58.20274541917919,6.918639747475838e-12,6.717125968423143e-11,0
ASTL,89.19431338429423,1.952714279786646e-18,2.6388030807927648e-17,1
SMC2,0.6992467652049789,0.951421777853088,1.0,2
MARCKSL1,0.9226922169271161,0.9212829169057983,1.0,1
FTL,8.96656753540315,0.06194058756023677,0.1518151655888156,1
PCNA,4.241710054100869,0.37428115388189487,0.6659807008574642,4
RPLP1,13.142897411090146,0.010598272298788541,0.032067389708891204,4
RLN3,0.44129043204566787,0.9789588877252944,1.0,1
PDLIM1,45.627436279038214,2.9441186562029703e-09,2.3182036663015513e-08,4
LAMP3,44.398101096304686,5.30328607182139e-09,4.06382074469072e-08,0
ATP1B1,0.11698380507168152,0.9983546142190262,1.0,4
LY6E,257.8619608374622,1.3173445324816922e-54,5.854864588807521e-53,0
CSTA,275.1739872917498,2.4459656386581505e-58,1.1931539700771464e-56,0
ENSGALG00000043758,0.807552379380055,0.9374327042512155,1.0,0
HINT2,3.288811548841051,0.5107069205548549,0.8399784877546955,0
CD200R1,0.005860045014573455,0.9999957158596267,1.0,1
RPLP0,21.089817534354797,0.00030394486845569945,0.0012638040268428252,4
ENSGALG00000037441,16.793174281304868,0.0021202090483534285,0.007626651253069886,1
C11H16orf70,15.654086629539961,0.00352025023761715,0.01193305165293949,1
CDC20,6.984283873515622,0.13672108521511947,0.3045013033744309,4
CCNB1,5.00721339829946,0.28655815596397727,0.5494883144083935,4
HIST1H103,4.560079528469841,0.3354829247931186,0.6166965529285268,4
ENSGALG00000040725,0.19545798065148398,0.9955245459251727,1.0,1
TEC,28.896590547188342,8.204755648936806e-06,4.3642317281578756e-05,1
MT-ATP8,9.240601249978845,0.05535903105066247,0.13770903246433452,0
RRM2,25.73664677059474,3.5758733000065944e-05,0.0001719169855772401,1
ALAS1,70.37844981632824,1.8883960421363474e-14,2.1217933057711768e-13,0
DPYSL3,15.03180448160119,0.004635705067968284,0.015100016508040014,1
CHAC1,0.1966277298360286,0.9954725686517819,1.0,1
