,ktest,p-value,p-value_adj,cluster
HBA1,668.6807560155746,2.105254495091809e-143,1.619426534686007e-141,3
HBBA,1502.2398818976053,0.0,0.0,3
HINTW,62.82348466009692,7.39189887273358e-13,4.927932581822387e-12,4
ENSGALG00000052767,1508.2686629308857,0.0,0.0,3
ENSGALG00000053077,257.8584656782863,1.319630960321687e-54,2.9002878248828284e-53,0
HBAD,994.8376200016955,4.6919140274887876e-214,5.519898855869161e-212,3
KPNA2,0.1597539934856243,0.9969747313777856,1.0,1
ENSGALG00000047563,20.52186778901387,0.00039382877036429935,0.0012522377436066752,1
THY1,6.130460708421055,0.18961493045921698,0.3584403222291436,1
ENSGALG00000050153,4.068293550471767,0.3968422157737977,0.6630613463221349,1
LDHA,643.3586796817668,6.385706073270893e-138,4.730152646867328e-136,0
CRIP1,324.1336044087962,6.724308927620772e-69,2.0690181315756223e-67,0
MLANA,4.800570075307968,0.30837898706502986,0.5391241032605417,0
ID2,248.96102358865105,1.0898755368786613e-52,2.2944748144813923e-51,0
CD99,25.540857986296974,3.915801125489248e-05,0.00014369912387116507,1
HIST1H101,2.883058140196005,0.5775821711546867,0.8804606267601931,4
HSPA5,3.6111867535162627,0.4611747144568201,0.7414384476797752,0
MT-MT-CO1,52.02374731702773,1.3637712033783162e-10,7.860352757223724e-10,1
RSFR,375.07748381602914,6.735345075086029e-80,2.449216390940374e-78,0
MT-ND3,0.8613403679703462,0.9300404591016732,1.0,4
CDK1,0.10252047947881199,0.9987302398835012,1.0,4
ENSGALG00000050596,0.16417813386441366,0.9968095274560117,1.0,4
HSP90B1,20.410256053392967,0.00041436783277071915,0.0013133687251052906,1
IFI6,0.2592440242695478,0.9922909305756008,1.0,1
ENSGALG00000053107,13.891121082755804,0.007650783706048526,0.0201867643959064,0
CCDC170,75.0898736889023,1.9072536006863044e-15,1.484244047226696e-14,1
MT-ND4L,30.8898954434621,3.2238656014898783e-06,1.3078562277849405e-05,1
ENSGALG00000011747,5.105906964624445,0.27660237929093534,0.49261332019756965,4
SAT1,16.151835969113705,0.0028220450715175033,0.00800580162132625,1
TUBB1,9.460476104832859,0.0505657414905758,0.1127441281841155,4
DDC,276.0912161211885,1.5513559080423175e-58,3.607804437307715e-57,1
ENSGALG00000040263,84.50230060786716,1.934444309358841e-17,1.5987143052552406e-16,0
LBH,9.940371530212136,0.041444183963699276,0.09408441308444784,4
PTGS1,10.56687358090688,0.031888185444334964,0.07407244005652722,0
ASTL,3278.2323243745377,0.0,0.0,1
SMC2,0.18835413064795442,0.9958341780905526,1.0,2
MARCKSL1,69.65637782412412,2.6824682868146408e-14,1.9580060487698109e-13,1
FTL,4.7828226428867895,0.3103156829117278,0.5420361273567298,1
PCNA,59.102043774350086,4.47898905445063e-12,2.861973836709668e-11,4
RPLP1,71.35028837023228,1.1772089878061946e-14,8.785141700046229e-14,4
RLN3,14.176354117333801,0.006752964497733185,0.018045492241314694,1
PDLIM1,4.415751748817479,0.3526543509022593,0.604377636507728,4
LAMP3,271.72464199046965,1.3552755203422764e-57,3.080171637141537e-56,0
ATP1B1,65.88638885647323,1.6738061350104183e-13,1.1664154250943682e-12,4
LY6E,444.1376581881706,8.038440645636149e-95,3.6538366571073404e-93,0
CSTA,1089.5931292267135,1.364234494292285e-234,2.0988222989112074e-232,0
ENSGALG00000043758,22.329596519277338,0.00017230371262572837,0.0005754827491934606,0
HINT2,224.54127345094372,1.9751465848030734e-47,3.762183971053473e-46,0
CD200R1,5.5862174063521115,0.2322542082455255,0.4239492169997887,1
RPLP0,34.692383851300306,5.372674094655428e-07,2.3308781321715524e-06,4
ENSGALG00000037441,1.771680827836472,0.777659237014473,1.0,1
C11H16orf70,0.3900876516285002,0.9832803837680616,1.0,1
CDC20,0.29379064866266985,0.9902114718454309,1.0,4
CCNB1,0.1956334786609179,0.995516765589734,1.0,4
HIST1H103,0.6800156778421926,0.9537703354535882,1.0,4
ENSGALG00000040725,1.267089025357258,0.8669341027798554,1.0,1
TEC,0.14551042841839848,0.9974782761699551,1.0,1
MT-ATP8,0.4517651622418085,0.9780235571647602,1.0,0
RRM2,0.20526597203874514,0.9950800998369488,1.0,1
ALAS1,39.79030894735278,4.782883268980433e-08,2.277563461419254e-07,0
DPYSL3,301.2782916498632,5.741978195983791e-64,1.5704644649545313e-62,1
CHAC1,0.7266021641133092,0.9480082662017527,1.0,1
TARP,226.34778986412869,8.068053183313173e-48,1.5819712124143477e-46,1
RPLP2,0.32425196449367033,0.988195317260706,1.0,4
PPP1R14B,9.759609194053404,0.04467768730307266,0.10073886652327545,1
CLCN5,11.677749068521177,0.019915611487695852,0.04857466216511183,1
ARAP2,470.81068419399674,1.3753594090820847e-100,7.053125174779921e-99,1
RPS26,9.684205677096216,0.04609678682922073,0.1036018368829482,1
LPAR3,73.2857946637368,4.590657911352894e-15,3.544909584056289e-14,1
RFESD,6.700745882927066,0.15257311329721204,0.29712388178619675,1
ALG10,5.940451526648873,0.20363974484777408,0.3817052387024819,1
AvBD14,2.2096906688970193,0.6972555132748532,0.9982183439869051,1
MAMLD1,0.6652945497203651,0.9555388290749776,1.0,1
ENSGALG00000050194,53.909763678290695,5.496689662194569e-11,3.321262635767111e-10,1
DIPK1A,27.44202300936045,1.6179983317524654e-05,6.211126033598716e-05,1
TOP2A,0.8473700994189103,0.9319869801979059,1.0,4
ENSGALG00000032052,28.563272119648186,9.588134535470572e-06,3.760052759008068e-05,1
ENSGALG00000011164,5.894221290938946,0.20718838722482735,0.38763028479855444,1
HMGB2,0.8508185502464347,0.9315081943610628,1.0,2
CD83,0.2359537365641401,0.9935646123472712,1.0,1
CDKN2A,3.7369504561831337,0.4427745216836598,0.7182068478242657,1
ENSGALG00000040833,1.2170520746254092,0.8752832047491472,1.0,4
SLC20A1,0.07914967395435119,0.999237273015619,1.0,1
TUBA3E,1.460096272331247,0.8336856187121144,1.0,4
PABPC1L,48.73835093330801,6.620761119277055e-10,3.6680117004305018e-09,1
LCP1,453.40769649812614,7.964161341181843e-97,3.704261088921787e-95,0
ENSGALG00000051178,12.002026892556437,0.017336199106587177,0.042964557884974414,1
TANK,50.05948199506461,3.5090652841894624e-10,1.9713849911176752e-09,1
HSPA8,730.0149415522302,1.1034674796621663e-156,9.595369388366664e-155,0
