,ktest,p-value,p-value_adj,cluster
HBA1,26.804570645680396,2.1771725489841005e-05,0.00032017243367413244,3
HBBA,8.923429401492173,0.06304213840956838,0.34169180709793157,3
HINTW,0.07191234725906374,0.9993688651160064,1.0,4
ENSGALG00000052767,16.803117504803453,0.0021108105630673686,0.018846522884530075,3
ENSGALG00000053077,4.168265036413573,0.3837123506912098,1.0,0
HBAD,38.27954299994984,9.811996656317041e-08,2.229999240072055e-06,3
KPNA2,0.4316678628101865,0.9798030207495064,1.0,1
ENSGALG00000047563,0.2974048388960561,0.9899810820938445,1.0,1
THY1,0.04195056900451152,0.9997830707721795,1.0,1
ENSGALG00000050153,16.06660540662817,0.002931079027783737,0.025051957502425105,1
LDHA,9.084190017205032,0.05902923679420824,0.32344787284497667,0
CRIP1,7.325710653303909,0.11964487065600388,0.5450791373849835,0
MLANA,1.1102887024149435,0.8926363717459426,1.0,0
ID2,9.653823713933715,0.04668068974812098,0.2721906107762156,0
CD99,0.5745328694752905,0.9658511868166044,1.0,1
HIST1H101,22.46263527349079,0.00016209662421434035,0.0019412769366986867,4
HSPA5,6.33316376858221,0.17561066295819847,0.6982470345544928,0
MT-MT-CO1,7.713481507108732,0.10265584793832028,0.49408744556891915,1
RSFR,1.208537212852604,0.8766910311867722,1.0,0
MT-ND3,0.04853039476916303,0.9997103194891159,1.0,4
CDK1,2.460433250346759,0.6517345687517766,1.0,4
ENSGALG00000050596,17.663996073079954,0.0014353366413941357,0.01347733935581348,4
HSP90B1,1.428112361118409,0.839294531498528,1.0,1
IFI6,4.325907668615886,0.3636921592066235,1.0,1
ENSGALG00000053107,0.6862460603851374,0.9530141683216222,1.0,0
CCDC170,6.371228863922509,0.17308699992977827,0.6942303034424698,1
MT-ND4L,0.2687903378008363,0.9917387622937294,1.0,1
ENSGALG00000011747,12.203359231906738,0.015901397281840153,0.11042637001277883,4
SAT1,1.2751824248303472,0.8655719097353789,1.0,1
TUBB1,0.35792129148472107,0.9857747447320517,1.0,4
DDC,0.23675903808066434,0.9935223316944053,1.0,1
ENSGALG00000040263,10.152461074028622,0.03793633152007828,0.2313190946346237,0
LBH,2.7071390045236554,0.6079659575888936,1.0,4
PTGS1,15.750868624226237,0.0033723446274774205,0.028579191758283225,0
ASTL,0.8297097774458377,0.9344212596007115,1.0,1
SMC2,14.62021401003211,0.005557346573719413,0.04463732187726436,2
MARCKSL1,3.6546240242283394,0.45475995491388677,1.0,1
FTL,3.5520473537438444,0.47000868527925965,1.0,1
PCNA,0.14720663159428027,0.9974205923216767,1.0,4
RPLP1,4.147081377873766,0.38646635197374873,1.0,4
RLN3,2.541876790167254,0.6371531304633599,1.0,1
PDLIM1,10.559782167117254,0.031983394056475434,0.19989621285297146,4
LAMP3,11.914101416490908,0.01800159214457389,0.12245981050730538,0
ATP1B1,0.6368331307223003,0.9588840481613974,1.0,4
LY6E,12.641558855996129,0.013166722879032882,0.09375491748826745,0
CSTA,6.080219429803798,0.19323699961523938,0.7497631358991549,0
ENSGALG00000043758,1.3726595476411194,0.8489327233970729,1.0,0
HINT2,21.510307674966924,0.0002507981643040322,0.002866264734903225,0
CD200R1,2.978177992431032,0.5614838779640094,1.0,1
RPLP0,8.309533902093403,0.080875443457362,0.41346587739978535,4
ENSGALG00000037441,0.24622937960880534,0.9930156137845977,1.0,1
C11H16orf70,5.524489063236961,0.2375852429017498,0.8718724510155955,1
CDC20,10.67125171994574,0.03051804115142413,0.19193736573222722,4
CCNB1,2.923329423881755,0.570736938467377,1.0,4
HIST1H103,5.024777902418135,0.28476456370949027,0.9793568725985317,4
ENSGALG00000040725,1.8968917644563255,0.7547159611725904,1.0,1
TEC,0.7962711830392238,0.9389472644283756,1.0,1
MT-ATP8,7.066727090078691,0.1324037415230811,0.5871562816988075,0
RRM2,0.03434778377436992,0.9998542063316832,1.0,1
ALAS1,7.056773768500395,0.13291823631365687,0.5881337889984818,0
DPYSL3,1.6093403688237153,0.8071124052314763,1.0,1
CHAC1,4.23190815576875,0.3755293353081183,1.0,1
TARP,0.822823066538434,0.9353623897087153,1.0,1
RPLP2,6.634730439167022,0.1564967703011711,0.652328535372794,4
PPP1R14B,13.124278095640467,0.010684246043795316,0.07770360759123866,1
CLCN5,6.490187164802116,0.16540972230519854,0.6708934264727272,1
ARAP2,0.6920621227511459,0.952304203618507,1.0,1
RPS26,0.0605723789353823,0.9995505290740827,1.0,1
LPAR3,2.4470699581497577,0.6541381464732814,1.0,1
RFESD,4.294138075453955,0.3676597053845208,1.0,1
ALG10,0.24586164372242097,0.9930356153209581,1.0,1
AvBD14,8.892721058159626,0.06383759899297575,0.3441379999621334,1
MAMLD1,0.12560020379234194,0.9981087196115109,1.0,1
ENSGALG00000050194,10.689875132551283,0.03027962287780877,0.19112449488318084,1
DIPK1A,3.225573854197244,0.5208102602797217,1.0,1
TOP2A,3.366727289721747,0.4984297880492444,1.0,4
ENSGALG00000032052,0.009698758685407033,0.9999882797044006,1.0,1
ENSGALG00000011164,3.7433488444717335,0.44185251007344817,1.0,1
HMGB2,17.41301022185685,0.0016064816204761439,0.014874829819223554,2
CD83,0.10006695722963531,0.9987893029271625,1.0,1
CDKN2A,0.21963599012440035,0.9943938120579401,1.0,1
