,ktest,p-value,p-value_adj,cluster
HBA1,2.763466023130861,0.5981554357882269,0.9986010762433205,3
HBBA,69.68947063905567,2.6396667698209674e-14,3.384188166437138e-13,3
HINTW,0.24156070103163207,0.9932675985583111,1.0,4
ENSGALG00000052767,49.24105126919957,5.20031451895022e-10,4.7709307513304774e-09,3
ENSGALG00000053077,222.57366754065737,5.236860689185065e-47,1.837494978661426e-45,0
HBAD,57.831053588376726,8.280240038446948e-12,8.808765998347818e-11,3
KPNA2,0.4874080751880688,0.9747151704994472,1.0,1
ENSGALG00000047563,57.375332233235596,1.0320030098774507e-11,1.0920666771189955e-10,1
THY1,0.7486852721890984,0.9451920901599821,1.0,1
ENSGALG00000050153,1.9412572503785288,0.7465624307206473,1.0,1
LDHA,147.59166606368046,6.679659587355834e-31,1.6095565270736948e-29,0
CRIP1,58.32732219471575,6.514288163970451e-12,7.119440616361148e-11,0
MLANA,0.6642065078916206,0.9556685157995825,1.0,0
ID2,95.58673738606507,8.549968365805949e-20,1.5405348406857566e-18,0
CD99,12.540761307609657,0.013751986341581786,0.043945380247717526,1
HIST1H101,10.747594392710534,0.029552060798324998,0.08640953449802631,4
HSPA5,0.07701075489164283,0.9992774261464927,1.0,0
MT-MT-CO1,80.45083278975343,1.3979404718464956e-16,2.0114251393474757e-15,1
RSFR,0.9078034243536004,0.9234386315528393,1.0,0
MT-ND3,152.44911743576324,6.079252731839179e-32,1.5198131829597948e-30,4
CDK1,7.590014024160915,0.10780493510366233,0.2621428634296724,4
ENSGALG00000050596,3.2101756011286677,0.5232889816724835,0.9276338868132142,4
HSP90B1,17.225108907705057,0.0017476478966931934,0.006826749596457787,1
IFI6,0.592983065926495,0.9638402270565498,1.0,1
ENSGALG00000053107,8.308526060955037,0.08090829830694012,0.20666232006881255,0
CCDC170,9.184013313935576,0.0566610381899923,0.15355294902436936,1
MT-ND4L,0.018241085191171853,0.999958659883836,1.0,1
ENSGALG00000011747,7.610314525922389,0.1069421235726393,0.2613427764267106,4
SAT1,143.67195862396903,4.617177244242265e-30,1.0993279152957773e-28,1
TUBB1,61.43182647828616,1.4505262572723915e-12,1.6483252923549904e-11,4
DDC,3.548469812287235,0.47054677637626585,0.8594461668972891,1
ENSGALG00000040263,5.060848219753906,0.2811108786012108,0.5772297301872912,0
LBH,4.432058318055785,0.3506797935797773,0.6869339737116108,4
PTGS1,19.833493762940698,0.0005386476775944308,0.002331808128114419,0
ASTL,52.7041360610474,9.827259756469645e-11,9.77836791688522e-10,1
SMC2,4.829656575006908,0.3052265236377249,0.6129046659392066,2
MARCKSL1,16.01485944518673,0.0029992891719201136,0.01112908783643827,1
FTL,0.4890518602000614,0.9745579925641409,1.0,1
PCNA,15.685021688068193,0.0034722934193148797,0.012742361171797724,4
RPLP1,4.261792782620151,0.371733886058487,0.7225148417074578,4
RLN3,238.08870782198122,2.393512683853293e-50,9.032123335295446e-49,1
PDLIM1,3.2583009859635945,0.5155661274694918,0.9198325200169345,4
LAMP3,0.98231945124521,0.9124649829873643,1.0,0
ATP1B1,0.48668669821237026,0.9747840218541347,1.0,4
LY6E,56.80774637938335,1.3575603656073793e-11,1.4290109111656625e-10,0
CSTA,197.85398294693744,1.0870169195354034e-41,3.4508473636044552e-40,0
ENSGALG00000043758,4.4632699062066035,0.3469249633033532,0.6809125874452467,0
HINT2,104.0872695270993,1.3254699311515803e-21,2.5989606493168243e-20,0
CD200R1,7.465449841036984,0.11324249447578395,0.27320264047233767,1
RPLP0,7.650116076071191,0.10526910794688686,0.25874407266624266,4
ENSGALG00000037441,0.9028981943710066,0.9241446588208648,1.0,1
C11H16orf70,5.388843310158109,0.24967439403213793,0.5281775091740919,1
CDC20,13.690067705695615,0.008352844399672673,0.028124055217753106,4
