,ktest,p-value,p-value_adj,cluster
HBA1,348.0569878138593,4.607805704232187e-74,1.8069826291106614e-72,3
HBBA,922.3298296968666,2.417793507092852e-198,4.835587014185704e-196,3
HINTW,12.248704547205211,0.015594555055639324,0.04040040169854747,4
ENSGALG00000052767,1369.151151246771,3.378005855097045e-295,2.25200390339803e-292,3
ENSGALG00000053077,409.040686830065,3.0959806298714952e-87,1.5102344535958514e-85,0
HBAD,777.8777157472653,4.75331661211158e-167,6.33775548281544e-165,3
KPNA2,2.467705539410651,0.6504278020585085,0.9614601656445063,1
ENSGALG00000047563,36.300620321772485,2.509552378443271e-07,1.286949937663216e-06,1
THY1,8.514607602496863,0.07444568415604834,0.1609636414184829,1
ENSGALG00000050153,69.94479886823592,2.331574591827453e-14,1.8358855053759472e-13,1
LDHA,360.1998541111593,1.1003067164476325e-76,4.4012268657905303e-75,0
CRIP1,92.1203041706108,4.66641586648749e-19,4.6898651924497385e-18,0
MLANA,13.914967749442923,0.007571447450890444,0.020915600693067526,0
ID2,467.38275475401247,7.579166897761669e-100,4.59343448349192e-98,0
CD99,8.644692228711076,0.07062070473514785,0.15419367846102153,1
HIST1H101,43.7425040494456,7.256477832289515e-09,4.146558761308294e-08,4
HSPA5,62.5204290023225,8.561080677643261e-13,6.136975396160044e-12,0
MT-MT-CO1,0.7725974782065841,0.9420835433948973,1.0,1
RSFR,242.45261733126327,2.74946237479966e-51,6.706005792194292e-50,0
MT-ND3,36.94209240134778,1.8514664526748672e-07,9.618007546362948e-07,4
CDK1,0.497530216052449,0.9737409667558485,1.0,4
ENSGALG00000050596,0.011473340266006972,0.9999836081028148,1.0,4
HSP90B1,84.13684942877568,2.312460224174789e-17,2.1215231414447607e-16,1
IFI6,0.15443750943811752,0.9971677560958745,1.0,1
ENSGALG00000053107,112.6695944642039,1.961221763368093e-23,2.4064070716172922e-22,0
CCDC170,2.356584893453505,0.670486870458936,0.978812949575089,1
MT-ND4L,0.6295959832645348,0.9597187978518789,1.0,1
